rooms: bathroom, bedroom, kitchen, living
20 scenes x 3 seeds x 10 views   800x600  vfov 60
heights (0.85, 1.1, 1.35) m (agent standing height 1.576 is not used)

  FloorPlan429 s1: 10 views, 40 object-views, 22 relations [clear 20, hard 2 of which recoverable 0]
  FloorPlan429 s2: 10 views, 61 object-views, 37 relations [clear 34, hard 3 of which recoverable 2]
  FloorPlan429 s3: 10 views, 54 object-views, 32 relations [clear 29, hard 3 of which recoverable 2]
  FloorPlan430 s1: 10 views, 42 object-views, 25 relations [clear 13, hard 12 of which recoverable 0]
  FloorPlan430 s2: 10 views, 29 object-views, 10 relations [clear 10, hard 0 of which recoverable 0]
  FloorPlan430 s3: 10 views, 57 object-views, 27 relations [clear 18, hard 9 of which recoverable 3]
  FloorPlan420 s1: 10 views, 39 object-views, 27 relations [clear 26, hard 1 of which recoverable 0]
  FloorPlan420 s2: 10 views, 28 object-views, 16 relations [clear 15, hard 1 of which recoverable 0]
  FloorPlan420 s3: 10 views, 33 object-views, 18 relations [clear 13, hard 5 of which recoverable 0]
  FloorPlan419 s1: 10 views, 66 object-views, 28 relations [clear 12, hard 16 of which recoverable 0]
  FloorPlan419 s2: 10 views, 59 object-views, 34 relations [clear 26, hard 8 of which recoverable 0]
  FloorPlan419 s3: 10 views, 53 object-views, 37 relations [clear 14, hard 23 of which recoverable 5]
  FloorPlan427 s1: 10 views, 73 object-views, 81 relations [clear 68, hard 13 of which recoverable 1]
  FloorPlan427 s2: 10 views, 69 object-views, 74 relations [clear 65, hard 9 of which recoverable 1]
  FloorPlan427 s3: 10 views, 68 object-views, 72 relations [clear 59, hard 13 of which recoverable 2]
  FloorPlan311 s1: 10 views, 26 object-views, 16 relations [clear 16, hard 0 of which recoverable 0]
  FloorPlan311 s2: 10 views, 36 object-views, 25 relations [clear 25, hard 0 of which recoverable 0]
  FloorPlan311 s3: 10 views, 87 object-views, 69 relations [clear 62, hard 7 of which recoverable 2]
  FloorPlan326 s1: 10 views, 59 object-views, 45 relations [clear 42, hard 3 of which recoverable 0]
  FloorPlan326 s2: 10 views, 55 object-views, 38 relations [clear 36, hard 2 of which recoverable 0]
  FloorPlan326 s3: 10 views, 54 object-views, 38 relations [clear 37, hard 1 of which recoverable 0]
  FloorPlan313 s1: 10 views, 69 object-views, 49 relations [clear 35, hard 14 of which recoverable 8]
  FloorPlan313 s2: 10 views, 89 object-views, 87 relations [clear 29, hard 58 of which recoverable 16]
  FloorPlan313 s3: 10 views, 64 object-views, 44 relations [clear 26, hard 18 of which recoverable 2]
  FloorPlan318 s1: 10 views, 98 object-views, 92 relations [clear 47, hard 45 of which recoverable 0]
  FloorPlan318 s2: 10 views, 101 object-views, 115 relations [clear 49, hard 66 of which recoverable 0]
  FloorPlan318 s3: 10 views, 85 object-views, 60 relations [clear 47, hard 13 of which recoverable 6]
  FloorPlan328 s1: 10 views, 110 object-views, 109 relations [clear 77, hard 32 of which recoverable 0]
  FloorPlan328 s2: 10 views, 103 object-views, 98 relations [clear 74, hard 24 of which recoverable 3]
  FloorPlan328 s3: 10 views, 125 object-views, 134 relations [clear 88, hard 46 of which recoverable 0]
  FloorPlan7 s1: 10 views, 67 object-views, 50 relations [clear 38, hard 12 of which recoverable 7]
  FloorPlan7 s2: 10 views, 68 object-views, 27 relations [clear 25, hard 2 of which recoverable 2]
  FloorPlan7 s3: 10 views, 140 object-views, 147 relations [clear 117, hard 30 of which recoverable 3]
